close,open,high,low,volume,price_change,p_change
2.49,2.5,2.5,2.47,4163678.25,-0.01,-0.4
2.45,2.45,2.47,2.43,5042944.5,-0.04,-1.61
2.51,2.45,2.52,2.45,5398262.5,0.06,2.45
2.51,2.51,2.52,2.5,3347764,0,0
2.49,2.51,2.52,2.48,3981412,-0.02,-0.8
2.48,2.49,2.49,2.46,4208749.5,-0.01,-0.4
2.46,2.48,2.51,2.46,5627098.5,-0.02,-0.81
2.48,2.47,2.5,2.46,3966762.75,0.02,0.81
2.54,2.47,2.55,2.45,9077772,0.07,2.83
2.57,2.53,2.58,2.53,7761374,0.03,1.18
2.61,2.58,2.63,2.58,6654714,0.04,1.56
2.61,2.62,2.62,2.6,3908850.5,0,0
2.58,2.61,2.63,2.57,3793583.75,-0.03,-1.15
2.58,2.58,2.59,2.56,4064616.25,0,0
2.59,2.57,2.61,2.57,5541799,0.01,0.39
2.6,2.58,2.61,2.57,4770616,0.01,0.39
2.53,2.61,2.62,2.53,6281027,-0.07,-2.69
2.48,2.53,2.54,2.46,7211972.5,-0.06,-2.36
2.46,2.48,2.5,2.46,4492235,-0.02,-0.81
2.46,2.46,2.49,2.44,6107524,0,0
2.53,2.46,2.53,2.46,6747789.5,0.07,2.85
2.5,2.53,2.53,2.49,5046803.5,-0.03,-1.19
2.55,2.49,2.56,2.48,5629504,0.06,2.41
2.55,2.55,2.57,2.53,5303563,0,0
2.53,2.53,2.54,2.49,5088587,-0.02,-0.78
2.52,2.52,2.53,2.5,4013338,-0.01,-0.4
2.45,2.52,2.52,2.45,5204054,-0.07,-2.78
2.45,2.43,2.48,2.41,7376081,0,0
2.42,2.48,2.48,2.41,6223785,-0.03,-1.22
2.46,2.43,2.46,2.42,5971887.5,0.04,1.65
2.5,2.46,2.51,2.46,7343200.5,0.04,1.63
2.5,2.51,2.51,2.48,5712116,0,0
2.51,2.5,2.52,2.48,4828294.5,0.01,0.4
2.52,2.5,2.55,2.49,4602932.5,0.01,0.4
2.57,2.53,2.57,2.53,4604968,0.05,1.98
2.56,2.58,2.58,2.55,2902311.25,-0.01,-0.39
2.55,2.56,2.56,2.55,2354117,-0.01,-0.39
2.53,2.56,2.57,2.53,3425790,-0.02,-0.78
2.52,2.51,2.54,2.5,5658302.5,-0.01,-0.4
2.51,2.51,2.52,2.49,3499668.5,-0.01,-0.4
2.55,2.51,2.56,2.5,5871699,0.04,1.59
2.49,2.54,2.54,2.49,6162962.5,-0.06,-2.35
2.47,2.48,2.5,2.46,4450224,-0.02,-0.8
2.49,2.47,2.51,2.47,4721383,0.02,0.81
2.47,2.49,2.5,2.46,5473959,-0.02,-0.8
2.45,2.46,2.48,2.44,7483562,-0.02,-0.81
2.43,2.44,2.45,2.43,5386638.5,-0.02,-0.82
2.47,2.46,2.47,2.43,7191134.5,0.04,1.65
2.48,2.47,2.49,2.46,4774951,0.01,0.41
2.45,2.46,2.47,2.45,3587507,-0.03,-1.21
2.51,2.44,2.52,2.44,6257165.5,0.06,2.45
2.54,2.51,2.56,2.5,11346628,0.03,1.2
2.54,2.54,2.56,2.54,5630915,0,0
2.64,2.55,2.64,2.54,12526019,0.1,3.94
2.6,2.6,2.61,2.59,8793921,-0.03,-1.14
2.64,2.61,2.67,2.61,12509341,0.04,1.54
2.63,2.63,2.64,2.62,7091972.5,-0.01,-0.38
2.66,2.63,2.67,2.63,9357884,0.03,1.14
2.53,2.6,2.61,2.53,13812960,-0.13,-4.89
2.55,2.54,2.56,2.53,6857270,0.02,0.79
2.55,2.55,2.57,2.52,9237275,0,0
2.44,2.47,2.5,2.42,17201448,-0.11,-4.31
2.49,2.45,2.51,2.44,11914451,0.05,2.05
2.46,2.5,2.5,2.46,7111628,-0.03,-1.21
2.47,2.47,2.51,2.45,10289540,0.01,0.41
2.48,2.5,2.51,2.43,15095397,0.01,0.41
2.42,2.46,2.46,2.42,8560993,-0.06,-2.42
2.49,2.4,2.5,2.39,14075978,0.07,2.89
2.6,2.53,2.62,2.51,21739074,0.11,4.42
2.51,2.59,2.6,2.5,17429976,-0.09,-3.46
2.52,2.51,2.58,2.51,17119308,0.01,0.4
2.53,2.47,2.54,2.46,10730785,0,0
2.52,2.54,2.55,2.49,9156341,-0.01,-0.4
2.43,2.51,2.53,2.42,13053057,-0.09,-3.57
2.46,2.42,2.5,2.42,13959948,0.03,1.24
2.5,2.47,2.51,2.46,11289133,0.04,1.63
2.51,2.52,2.55,2.5,10972875,0.01,0.4
2.59,2.57,2.6,2.54,17200346,0.08,3.19
2.56,2.57,2.57,2.54,7506374.5,-0.03,-1.16
2.55,2.55,2.56,2.53,7271512.5,-0.01,-0.39
2.53,2.55,2.57,2.52,7524801.5,-0.02,-0.78
2.54,2.55,2.56,2.53,6577376.5,0.01,0.4
2.48,2.52,2.52,2.48,12441089,-0.06,-2.36
2.49,2.48,2.5,2.47,7608103,0.01,0.4
2.51,2.46,2.52,2.46,9301777,0.02,0.8
2.48,2.51,2.51,2.47,6731566.5,-0.03,-1.2
2.51,2.48,2.51,2.47,6636932.5,0.03,1.21
2.51,2.51,2.53,2.49,8651754,0,0
2.54,2.51,2.54,2.51,8821221,0.03,1.2
2.5,2.52,2.53,2.49,7450939,-0.04,-1.57
2.5,2.48,2.5,2.48,6759450.5,0,0
2.48,2.5,2.5,2.47,6037057,-0.02,-0.8
2.44,2.48,2.49,2.44,7557891.5,-0.04,-1.61
2.45,2.45,2.47,2.44,9171852,0.01,0.41
2.44,2.45,2.46,2.43,7923000.5,-0.01,-0.41
